	m/z	Intensity	resolution	issues	cluster	number	rest	intensity	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Spectrum	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
349	1473.7993069514946	37455268.0	121343.33	False	2140	0	0.0003304848946754646	37455268.0	1472.7917	1	86701208	1473.7993	1473.6000-1478.9464	0.9865	y14	-12.403803336356434	0	1472.8099684452004	2	-0.8899264322146152	3.6419741996258344	-0.9524278418039872	2.009937892889702	0.012145697087138425	1.1954086651792655
350	1474.8032876990383	22457546.0	121900.836	False	2140	1	0.0009564324383399825	22457546.0	1472.7917	1	86701208	1473.7993	1473.6000-1478.9464	0.9865	y14	-12.403803336356434	0	1472.8099684452004	2	-0.7940012324850728	3.077122693832826	-0.88982710461434	1.6686463287697062	0.01209838535032842	1.1914909332185473
351	1475.8062198957	10031457.0	129494.26	False	2140	2	0.0005338291000716033	10031457.0	1472.7917	1	86701208	1473.7993	1473.6000-1478.9464	0.9865	y14	-12.403803336356434	0	1472.8099684452004	2	-1.2334078311975802	2.5604037340291725	-0.8990571307091945	1.8821265402367773	0.011396692369422123	1.1441900690425164
352	1828.4911837463628	1431597.2	97947.016	False	2756	3	-0.0015352809483273333	1431597.2	7306.9271	4	10170879	1828.9922	1827.5824-1830.8558	0.9178	b71	2.336865685132985	0	7306.910024732699	2	-3.0583670714874684	1.8421564954032672	-0.8634539156359692	1.9710513341574394	0.018668166376267403	1.2832233187397062
353	375.2211869602371	9334963.0	218178.45	False	233	0	1.0493637091713026e-05	9334963.0	374.2139	1	11580953	375.2212	375.1093-377.3350	0.9952	y3	-7.0466073504813975	0	374.216536957	3	-0.9437707574852178	2.317960103094245	-0.918832864141776	2.3999458553142	0.0017197902981980688	1.2757317289133727
354	471.26502792220174	71392500.0	214762.44	False	405	0	0.00010291120349847915	71392500.0	940.5154	2	119521312	471.265	471.1446-472.8709	0.9977	b8	-8.029891010800489	0	940.5229522968001	3	-0.6821198021483729	4.150141880628457	-0.993142526207249	1.5971020968050078	0.0021943549971218863	1.1948921400792236
355	474.28837737684967	13494518.0	212816.48	False	410	0	9.102496960622375e-07	13494518.0	473.2811	1	16485570	474.2884	474.1724-476.3967	0.9921	y4	-8.13726295310212	0	473.2849512441	3	-1.2206377065068477	2.8730858917301725	-0.9452204077654399	1.7820481433538249	0.0022286261271994086	1.1996039091813542
356	535.7855637517118	163228060.0	197475.92	False	528	0	-2.5429776314922492e-05	163228060.0	1069.5566	2	300666944	535.7856	535.6786-537.3915	0.9958	b9	-8.364630039983188	0	1069.5655465201	3	-0.7658200985426559	5.027261370349812	-0.9884127904815958	1.8563616655752642	0.0027131690722824323	1.2107191478698929
357	536.2872231867444	83856300.0	203583.27	False	528	1	-6.135971112875005e-05	83856300.0	1069.5566	2	300666944	535.7856	535.6786-537.3915	0.9958	b9	-8.364630039983188	0	1069.5655465201	3	-0.7746917098523323	4.363409838037651	-0.9506376824065358	1.5469377510027544	0.002634240204077404	1.18601496023426
358	536.7890772214432	18708544.0	213629.9	False	528	2	0.0002919096864606452	18708544.0	1069.5566	2	300666944	535.7856	535.6786-537.3915	0.9958	b9	-8.364630039983188	0	1069.5655465201	3	-1.3671826252631838	3.2726065707352294	-0.9401124996188601	1.619604306444346	0.002512705672366241	1.1481786821720887
359	571.3036865563606	267906020.0	192627.75	False	589	0	2.017952124333533e-05	267906020.0	1140.5928	2	513550816	571.3037	571.1995-573.4161	0.9937	b10	-8.645148691963222	0	1140.6026606796	3	-0.7486965719399409	5.522691349755659	-0.9979682710014598	1.789829618427739	0.0029658431173927983	1.204885261467079
360	571.8053928260811	143116960.0	192030.81	False	589	1	7.791896213071858e-05	143116960.0	1140.5928	2	513550816	571.3037	571.1995-573.4161	0.9937	b10	-8.645148691963222	0	1140.6026606796	3	-0.8032527005769259	4.899610759116288	-0.9435970431500582	1.5048217837561824	0.0029776752250427574	1.2070273887794625
361	572.3071781582739	32718396.0	192939.81	False	589	2	0.00029378334786445137	32718396.0	1140.5928	2	513550816	571.3037	571.1995-573.4161	0.9937	b10	-8.645148691963222	0	1140.6026606796	3	-1.6592791401506886	4.008374221308243	-0.9522597129606643	1.9798906414137887	0.002966247197727913	1.2028818325649164
362	586.3143900918908	10840339.0	205007.69	False	615	0	1.3625290762320219e-05	10840339.0	585.3071	1	15140478	586.3144	586.2100-589.4589	0.9934	z5	10.428187100075785	0	585.3009963717	3	-1.0619718057253809	2.4840234463300552	-0.8652729507133481	1.2798683174910834	0.002859962946959688	1.145929867305598
363	620.8373169720116	259890820.0	186688.95	False	677	0	-1.8989176851391676e-05	259890820.0	1239.6601	2	527428832	620.8373	620.7363-622.9609	0.9946	b11	-8.853127996230663	0	1239.6710749667	3	-0.7107562343607373	5.454866171043658	-0.9954325785256326	1.7144532818965494	0.0033255171587807985	1.1966641209392073
364	621.3389270013095	159111020.0	179452.86	False	677	1	-0.0001537305812353562	159111020.0	1239.6601	2	527428832	620.8373	620.7363-622.9609	0.9946	b11	-8.853127996230663	0	1239.6710749667	3	-0.7697404281360501	4.998177181608145	-0.9451368837702621	1.8048870825330179	0.0034624075044851006	1.2282864961908884
365	621.8407291565242	38606932.0	173368.77	False	677	2	9.577984817399354e-05	38606932.0	1239.6601	2	527428832	620.8373	620.7363-622.9609	0.9946	b11	-8.853127996230663	0	1239.6710749667	3	-1.675903376743521	4.1549244855730425	-0.9091316386453342	2.1306782282089514	0.00358680946313927	1.256516334484164
366	656.3554262369953	340515780.0	179791.14	False	744	0	9.954079041563091e-05	340515780.0	1310.6962	2	715637120	656.3554	656.2475-658.4688	0.9952	b12	-9.14705981044566	0	1310.7081891262	3	-0.70257261191208	5.7221547855931565	-0.9996130576203194	1.7161154513214874	0.003650654998657531	1.2045256024420983
367	656.8570598540277	222279780.0	175752.81	False	744	1	1.197485529425002e-05	222279780.0	1310.6962	2	715637120	656.3554	656.2475-658.4688	0.9952	b12	-9.14705981044566	0	1310.7081891262	3	-0.7108715108541507	5.311335379405856	-0.9812768153456378	1.8580745017407279	0.003737391456276284	1.2225935332219209
368	657.3586479296881	60495564.0	170068.72	False	744	2	-0.00016667382394741637	60495564.0	1310.6962	2	715637120	656.3554	656.2475-658.4688	0.9952	b12	-9.14705981044566	0	1310.7081891262	3	-1.1673702835008526	4.338898604196382	-0.9684947740173041	3.105921346640013	0.003865253132741015	1.24936455290185
369	657.8601611907382	14113669.0	148673.44	False	744	3	-0.0004949517238754808	14113669.0	1310.6962	2	715637120	656.3554	656.2475-658.4688	0.9952	b12	-9.14705981044566	0	1310.7081891262	3	-1.80382623330316	3.3505432434021323	-0.9114023056858535	6.332576186312345	0.004424866823912228	1.3661621040448995
370	658.3613000739377	3227523.2	163797.81	False	744	4	-0.0015719853247011528	3227523.2	1310.6962	2	715637120	656.3554	656.2475-658.4688	0.9952	b12	-9.14705981044566	0	1310.7081891262	3	-2.217158241875665	2.210971359305618	-0.8549334348803544	1.8297291289034652	0.00401935343351388	1.2803979549036684
371	691.8735675379934	191227200.0	175158.67	False	809	0	-1.7857213379102177e-05	191227200.0	1381.7326	2	419506464	691.8736	691.7615-693.9922	0.9963	b13	-9.193652165792939	0	1381.7453032857002	3	-0.810563762644131	5.235668871246164	-0.9973399806571428	1.9337869988690322	0.0039499818086754	1.204321104255006
372	692.3752092111899	149581180.0	170495.11	False	809	1	-8.931082026086834e-05	149581180.0	1381.7326	2	419506464	691.8736	691.7615-693.9922	0.9963	b13	-9.193652165792939	0	1381.7453032857002	3	-0.6630967071050199	4.875788774782898	-0.9683677968874607	1.824719352270859	0.004060968151809721	1.2258849584027662
373	692.8770754826613	44059360.0	170634.05	False	809	2	0.0002884321225100628	44059360.0	1381.7326	2	419506464	691.8736	691.7615-693.9922	0.9963	b13	-9.193652165792939	0	1381.7453032857002	3	-1.1154987712214817	3.979916633551179	-0.9524168614155981	2.555512442605472	0.004060602723618439	1.2249235409491017
374	693.3771252865254	6709758.5	128555.87	False	809	3	-0.0029667601494010043	6709758.5	1381.7326	2	419506464	691.8736	691.7615-693.9922	0.9963	b13	-9.193652165792939	0	1381.7453032857002	3	-3.6953418829372935	3.7303710961021945	-0.9669953767014877	5.06369830752663	0.00539358599849222	1.4790363529350543
375	715.3555682341994	36527892.0	173467.78	False	848	0	-8.232400659835548e-06	36527892.0	714.3483	1	53605552	715.3556	715.2324-718.4670	0.9967	b6	-9.132149436969742	0	714.3548235950001	3	-0.542961282078993	3.38613924992913	-0.9598962825877034	1.6368909840210457	0.004123852643294239	1.1987202869047302
376	716.3588121387116	11137145.0	168679.72	False	848	1	-0.00011912788839985033	11137145.0	714.3483	1	53605552	715.3556	715.2324-718.4670	0.9967	b6	-9.132149436969742	0	714.3548235950001	3	-1.0401317298126542	2.550278250686028	-0.9097834983655122	1.7934916500066427	0.0042468579948276184	1.2207257136205745
377	731.3866015303619	37363212.0	168945.19	False	877	0	2.5063761881938262e-05	37363212.0	730.3793	1	56446812	731.3866	731.2460-734.5259	0.9944	y7	-9.342623549831632	0	730.3861237225999	3	-0.5860583146394532	3.427243472045114	-0.9743780744965685	1.4138440363517581	0.004329135457204793	1.2110352051334543
378	757.3931220539314	30135924.0	174626.44	False	924	0	0.00039117466258176137	30135924.0	1512.7713	2	72855936	757.3931	757.2919-760.0010	0.9781	b14	-9.577233546330694	0	1512.7857883028003	3	-1.0830597297362543	3.5680144891291836	-0.9826935507844018	1.7463726523003085	0.004337219111246723	1.170907216799914
379	757.8946984512038	22146254.0	166197.48	False	924	1	0.0001891692073849871	22146254.0	1512.7713	2	72855936	757.3931	757.2919-760.0010	0.9781	b14	-9.577233546330694	0	1512.7857883028003	3	-0.9292128006570219	3.1729307432862037	-0.9135331689130763	1.8434936372741693	0.0045602055969820015	1.2098983729541253
380	800.9085424771483	25416518.0	160578.6	False	1002	0	0.00023202109650810598	25416518.0	1599.8023	2	63700496	800.9086	800.8016-803.5613	0.9884	b15	-9.699518364478152	0	1599.8178174623004	3	-1.131580945966617	3.425855414719692	-0.9854038344005381	1.8360743947825873	0.004987642024839618	1.2153820280200311
381	802.4228738971708	24318890.0	162400.97	False	1005	0	9.743057080413564e-05	24318890.0	801.4155	1	36350220	802.4229	802.2921-805.5352	0.9908	y8	-9.655175610465227	0	801.4232378821	3	-0.9191175740991548	3.2289118116696773	-0.987615240073268	1.829131720288521	0.004940998074539939	1.2055141541318253
382	828.4382497361422	113665770.0	159658.34	False	1049	0	7.326954221298365e-05	113665770.0	827.4309	1	180573776	828.4382	828.3343-831.5622	0.9987	b7	-9.653819776310385	0	827.4388879459001	3	-0.5812528050720642	4.538392588064846	-0.9933814126591894	1.5070519168033618	0.005188819013639193	1.206377642945393
383	829.4415296552527	48968520.0	164924.66	False	1049	1	-1.6113473184642402e-06	48968520.0	827.4309	1	180573776	828.4382	828.3343-831.5622	0.9987	b7	-9.653819776310385	0	827.4388879459001	3	-0.6587702242889935	3.761388222234654	-0.9015144439296949	1.5655629652574377	0.0050292148458260175	1.1800841974406264
384	915.9617332860375	4023925.0	114658.37	False	1205	0	0.0003136388750135666	4023925.0	1829.9086	2	8239512	915.9617	915.8423-919.0796	0.9761	b17	-9.900268865690029	0	1829.9267167665005	3	-2.9916273846233743	2.7257275720514245	-0.8623701164356585	2.3684521273095056	0.007988616581188287	1.4547520187515952
385	931.4639548422356	27980086.0	147031.56	False	1235	0	7.837563555312954e-05	27980086.0	930.4566	1	47322372	931.4639	931.3455-934.6055	0.9969	y9	-9.922025163428593	0	930.4658321053998	3	-0.6749449550244426	3.233251126650768	-0.8946294850902456	2.0001108629126234	0.006335129267515167	1.2256399132282467
386	941.5208304077521	62497176.0	150417.88	False	1253	0	5.394115203216643e-05	62497176.0	940.5135	1	106806120	941.5208	941.4175-944.6542	0.9973	b8	-10.050043730452806	0	940.5229522968001	3	-0.6630763691838317	3.988965934110082	-0.9889902174869587	1.44735072958678	0.006259367980087155	1.202862630956172
387	942.5242668458108	32420622.0	147348.42	False	1253	1	0.00013557921068874101	32420622.0	940.5135	1	106806120	941.5208	941.4175-944.6542	0.9973	b8	-10.050043730452806	0	940.5229522968001	3	-0.7625022651492482	3.389246618150019	-0.8967986841740933	1.6029412180452376	0.006396568452191376	1.219075236439898
388	944.0119783275546	6700097.5	150845.22	False	1257	2	0.0022941219092662557	6700097.5	1884.0004	2	19353892	943.0076	942.8444-945.6185	0.9624	y18	-10.625414514372833	0	1884.0204184979	3	-0.7456877404917921	1.8545575063956097	-0.8704265197060551	1.6156529210290922	0.006258149818404865	1.1995327631093227
389	1032.5433728486148	12138072.0	136876.7	False	1423	0	-0.0005108539553475566	12138072.0	3094.6088	3	74669992	1032.8778	1032.4386-1034.9857	0.9863	y30	-10.01481380123585	0	3094.639792241301	3	-1.6696691997840205	3.0577099529932346	-0.9794222750854497	2.444740171338388	0.007543602010238839	1.2421225554781168
390	1032.8777534329151	21366554.0	149628.7	False	1423	1	-0.0007239010545736502	21366554.0	3094.6088	3	74669992	1032.8778	1032.4386-1034.9857	0.9863	y30	-10.01481380123585	0	3094.639792241301	3	-0.9996423711018716	3.1693024591694745	-0.9197667818432261	1.709490233211884	0.006902938619805104	1.170388090726259
391	1033.212181829553	16690978.0	136233.62	False	1423	2	-0.0007935111409334006	16690978.0	3094.6088	3	74669992	1032.8778	1032.4386-1034.9857	0.9863	y30	-10.01481380123585	0	3094.639792241301	3	-1.336803613170048	3.122046624280056	-0.9043528207383407	1.8829103041501039	0.007584120159979248	1.2457590105125114
392	1060.504748350726	35068920.0	145765.97	False	1473	0	7.188412610048545e-05	35068920.0	1059.4974	1	63942092	1060.5048	1060.3402-1063.6138	0.9889	y10	-10.407023130869955	0	1059.5084263287001	3	-0.7113825533419531	3.442985609327684	-0.9893234018156417	1.5573201872376654	0.007275393272140045	1.1805371370137365
393	1070.5617135241296	50869468.0	137145.86	False	1491	0	3.7057529652884114e-05	50869468.0	1069.5544	1	91261056	1070.5618	1070.4431-1073.6968	0.9985	b9	-10.421539976041192	0	1069.5655465201	3	-0.8971964786005012	3.9279279790990413	-0.9382934483207866	1.6969334118930743	0.007806008277631456	1.2256323459446286
394	1071.5650147188435	29226420.0	136292.34	False	1491	1	-1.6547756434226457e-05	29226420.0	1069.5544	1	91261056	1070.5618	1070.4431-1073.6968	0.9985	b9	-10.421539976041192	0	1069.5655465201	3	-0.9156415421825433	3.4187075070414013	-0.9573602095485275	1.6901451729573824	0.007862253925902155	1.2303591220489294
395	1085.9013582460334	15098812.0	136581.45	False	1520	2	-0.001464261699971825	15098812.0	3252.677	3	57058372	1085.9014	1085.1276-1087.6881	0.9919	y32	-9.818142641621565	0	3252.708935560301	3	-1.0601721929397798	2.928033961152715	-0.9189463551692749	2.3280748265710014	0.007950576988313423	1.2231905220651864
396	1086.2352744532172	7546963.5	136276.12	False	1520	3	-0.0030704401479750842	7546963.5	3252.677	3	57058372	1085.9014	1085.1276-1087.6881	0.9919	y32	-9.818142641621565	0	3252.708935560301	3	-1.936154861957085	2.7593936973303492	-0.9369598289688678	2.0674941259350534	0.007970840632966466	1.2248911412422352
397	1127.4657297973763	17432510.0	130657.78	False	1594	3	-0.003991084564940017	17432510.0	7882.2031	7	355791072	1127.7524	1126.8977-1129.0236	0.9126	y77	-10.200304693294065	0	7882.283501693396	3	-2.164006654214005	3.762597788684173	-0.9540015732314142	2.895921275275923	0.008629151046427832	1.244204338563803
398	1127.6090621127341	40553010.0	145802.48	False	1594	4	-0.00401967706007067	40553010.0	7882.2031	7	355791072	1127.7524	1126.8977-1129.0236	0.9126	y77	-10.200304693294065	0	7882.283501693396	3	-2.087365025818209	4.550216872995979	-0.9824414397749003	3.4989133574812055	0.007733812403446806	1.1564407423117662
399	1127.7524019034338	60240010.0	136095.38	False	1594	5	-0.003995942162251076	60240010.0	7882.2031	7	355791072	1127.7524	1126.8977-1129.0236	0.9126	y77	-10.200304693294065	0	7882.283501693396	3	-2.3093319032733124	5.078291940908301	-0.9969065021014911	3.950420734594765	0.008286485869952846	1.2107394384175039
400	1128.580878229434	17430868.0	136734.06	False	1596	1	-0.0006495114983982031	17430868.0	3381.7181	3	63512756	1128.5809	1128.1055-1130.6964	0.994	y33	-9.885345894495476	0	3381.751529783601	3	-1.3240795747197538	3.169783015965626	-0.9379230196243277	1.7546642210350782	0.008253838565130279	1.2066711445724487
401	1128.9147208379045	16142895.0	131256.31	False	1596	2	-0.0024764860861306026	16142895.0	3381.7181	3	63512756	1128.5809	1128.1055-1130.6964	0.994	y33	-9.885345894495476	0	3381.751529783601	3	-1.9245574061365291	3.523170665070642	-0.9842198392891015	3.4754519885071447	0.008600841356394988	1.2398884024874715
402	1129.2488517142392	12352409.0	131027.38	False	1596	3	-0.003438657081995977	12352409.0	3381.7181	3	63512756	1128.5809	1128.1055-1130.6964	0.994	y33	-9.885345894495476	0	3381.751529783601	3	-1.5138750611306462	2.9425694768700845	-0.8920963795200908	2.4675402045828623	0.008618418741754102	1.2412095830516032
403	1141.5978883713738	134449150.0	137193.56	False	1621	0	1.1904773828064208e-05	134449150.0	1140.5906	1	258951088	1141.5979	1141.4751-1145.7220	0.9989	b10	-10.573953591113366	0	1140.6026606796	3	-0.5684521935845306	4.705261868622946	-0.9846158804242369	1.4964919214024281	0.008321074747012082	1.1993810755088417
404	1142.6011405767958	82684260.0	131778.25	False	1621	1	-9.06898040857751e-05	82684260.0	1140.5906	1	258951088	1141.5979	1141.4751-1145.7220	0.9989	b10	-10.573953591113366	0	1140.6026606796	3	-0.5342596670776049	4.186405059300067	-0.9716589665287966	1.6453721062465911	0.008670635257159628	1.2316543174198693
405	1145.616259441756	22713854.0	129889.93	False	1627	2	-0.0004287739072661445	22713854.0	8010.2566	7	704608320	1146.0458	1145.2080-1147.3110	0.9581	y79	-10.671198276285285	0	8010.342079948596	3	-3.003778613387051	4.578201803749284	-0.9914148856644108	6.1325531129288136	0.008819900528069998	1.242469310491593
